1627976188.1373007,migration switch11,Rate 35.372170338593435, from 2, to 4,1627976187.0521908,1.0851120948791504
1627976188.7585554,migration switch10,Rate 18.538018509790092, from 1, to 4,1627976183.574483,5.184073448181152
1627976189.8587625,migration switch3,Rate 21.81975659194246, from 1, to 2,1627976188.758645,1.10011887550354
1627976190.2705393,migration switch2,Rate 23.88987248749639, from 3, to 2,1627976184.1603289,6.110213041305542
1627976190.94016,migration switch14,Rate 20.959487485425182, from 1, to 2,1627976189.8592675,1.0808942317962646
1627976192.3075316,migration switch10,Rate 25.546955598363212, from 4, to 3,1627976183.160815,9.146719217300415
1627976193.3838882,migration switch14,Rate 20.51147519364647, from 2, to 3,1627976188.1386533,5.2452356815338135
1627976194.4211771,migration switch11,Rate 42.19998310921351, from 4, to 1,1627976192.311313,2.1098673343658447
1627976195.4711084,migration switch2,Rate 24.927407415167604, from 2, to 1,1627976193.3839543,2.087155818939209
1627976196.059246,migration switch2,Rate 19.970427175962325, from 1, to 4,1627976190.940261,5.118988990783691
1627976197.1458094,migration switch11,Rate 33.83748853407275, from 1, to 2,1627976196.0639868,1.0818254947662354
1627976198.3897026,migration switch14,Rate 26.877841072033654, from 3, to 1,1627976190.2706761,8.119028806686401
1627976199.4570599,migration switch10,Rate 28.143136104354223, from 3, to 2,1627976198.3903053,1.0667591094970703
1627976200.5702634,migration switch2,Rate 22.49462109561191, from 4, to 1,1627976194.4218955,6.148372173309326
1627976201.7369835,migration switch3,Rate 24.35886700299329, from 2, to 3,1627976195.4713109,6.26567530632019
1627976202.8366292,migration switch10,Rate 27.1028338334505, from 2, to 3,1627976201.7380364,1.0985944271087646
1627976203.9036396,migration switch13,Rate 33.17613024417928, from 2, to 4,1627976202.8368118,1.0668282508850098
1627976204.680591,migration switch13,Rate 28.979582008687885, from 4, to 3,1627976200.5710773,4.109516859054565
1627976205.3041694,migration switch2,Rate 16.488862519311365, from 1, to 3,1627976197.1468182,8.15735411643982
1627976206.026171,migration switch9,Rate 33.97354746116063, from 2, to 4,1627976203.9037063,2.1224660873413086
1627976206.4090405,migration switch14,Rate 26.37430337006021, from 1, to 4,1627976205.3049324,1.1041090488433838
1627976207.4588616,migration switch4,Rate 38.525278889376935, from 1, to 2,1627976206.40911,1.0497527122497559
1627976208.7153392,migration switch2,Rate 17.166425517384052, from 3, to 1,1627976199.4578536,9.25748872756958
1627976209.814192,migration switch3,Rate 22.516489844507674, from 3, to 1,1627976208.7163885,1.097806453704834
1627976210.90642,migration switch14,Rate 25.20239276847119, from 4, to 2,1627976204.6813726,6.225049734115601
1627976211.9010196,migration switch10,Rate 23.62558173812444, from 3, to 2,1627976209.818867,2.0821547508239746
1627976213.179459,migration switch10,Rate 24.93482649472962, from 2, to 3,1627976206.0268145,7.15264630317688
1627976214.045202,migration switch9,Rate 35.65641284100665, from 4, to 3,1627976210.9083061,3.136897087097168
1627976215.1746826,migration switch9,Rate 19.537428123659993, from 3, to 4,1627976211.9015868,3.273096799850464
1627976215.5812593,migration switch2,Rate 20.911628875477973, from 1, to 4,1627976207.4589682,8.122294187545776
1627976216.666362,migration switch3,Rate 25.85261991576719, from 1, to 2,1627976215.5824814,1.0838823318481445
1627976217.156787,migration switch2,Rate 17.55139381288982, from 4, to 2,1627976214.0452876,3.1115000247955322
1627976219.2745612,migration switch10,Rate 21.201373418804305, from 3, to 4,1627976215.1747735,4.099791765213013
